Area,Round,Bright,Compact,ShpIndx,Mean_G,Mean_R,Mean_NIR,SD_G,SD_R,SD_NIR,LW,GLCM1,Rect,GLCM2,Dens,Assym,NDVI,BordLngth,GLCM3,Area_140,Round_140,Bright_140,Compact_140,ShpIndx_140,Mean_G_140,Mean_R_140,Mean_NIR_140,SD_G_140,SD_R_140,SD_NIR_140,LW_140,GLCM1_140,Rect_140,GLCM2_140,Dens_140,Assym_140,NDVI_140,BordLngth_140,GLCM3_140,class
68,1.43,148.36,1.94,2.24,163.59,139.34,142.15,19.56,21.61,20.2,3.67,0.58,0.68,6.25,1.17,0.9,0.08,74,2974.94,1428,1.61,143,2.56,2.17,184.3,117.18,127.52,22.36,20.4,18.39,1.09,0.79,0.69,8.02,1.76,0.55,0.22,328,1408.47,grass 
322,1.86,204.65,3.29,3.85,187.47,223.98,202.5,5.71,5.76,5.56,2.65,0.27,0.47,6.22,1.04,0.94,-0.09,276,4327.93,2666,1.62,194.74,2.21,2.91,180.52,208.06,195.62,21.81,25.27,22.98,1.31,0.78,0.72,7.84,1.91,0.35,-0.07,602,1429.69,building 
579,1.04,240,1.94,2.1,216.64,251.56,251.8,8.55,5.45,4.95,1.55,0.49,0.77,6.8,1.82,0.61,-0.07,202,3269.82,8031,1.79,232.57,2.53,3.37,212.09,242.07,243.56,20.26,15.39,14.46,2.16,0.85,0.46,7.84,1.33,0.78,-0.07,1208,902.27,concrete 
81,2.32,137.11,3.85,2.17,171.9,114.05,125.38,17.05,10.87,11.32,1.85,0.67,0.47,6.42,1.16,0.54,0.2,78,3138.07,8414,2.46,150.21,3.98,6.3,183.85,128.41,138.39,44.37,38.37,36.92,2.18,0.89,0.42,9.11,1.25,0.64,0.18,2312,720.68,grass 
401,0.56,232.74,1.26,1.3,205,245.35,247.86,12.57,10.67,9.89,1.14,0.6,0.9,7.07,2.13,0.29,-0.09,104,2706.82,2902,0.81,222.5,1.43,1.47,199.52,231.61,236.37,24.8,22.25,20.56,1.08,0.83,0.81,8.24,2.24,0.09,-0.07,316,1159.58,building 
255,1.52,176.44,2.53,2.85,150.05,186.82,192.45,8.65,8.19,8.14,2.06,0.66,0.58,6.58,1.4,0.72,-0.11,182,2396.75,986,0.97,187.56,1.62,1.88,164.97,196.29,201.42,22.54,14.68,14.48,2.56,0.9,0.85,7.63,1.72,0.81,-0.09,236,671.11,building 
395,1.56,227.8,2.41,3.5,202.05,239.83,241.53,5.13,4.93,4.93,2.78,0.28,0.65,6.11,1.39,0.83,-0.09,278,4135.53,8975,3.05,221.52,7.04,4.77,199.75,232.02,232.78,11.47,14.89,14.8,2.2,0.79,0.36,7.24,0.9,0.84,-0.07,1806,1305.34,concrete 
186,1.87,148.4,3.33,2.64,218.06,104.52,122.62,12.74,11.69,12.74,1.77,0.66,0.59,6.9,1.35,0.71,0.35,144,2795.23,1738,2.21,127.56,5.43,4.68,167.99,103.23,111.45,40.15,42.35,35.04,1.31,0.89,0.39,8.91,1.47,0.22,0.24,780,788.53,tree 
500,1.8,46.92,3.33,4.2,66.01,33.9,40.85,9.96,6.58,6.91,3.62,0.68,0.44,7.09,0.92,0.93,0.32,376,2922.25,3087,1.52,62.21,2.54,3.08,85.19,46.54,54.91,41.25,20.05,21.41,2.55,0.92,0.63,8.75,1.3,0.9,0.29,684,602.76,tree 
733,1.26,71.05,2.13,2.64,57.96,74.67,80.52,6.47,7.01,7.17,3.9,0.34,0.67,6.51,1.34,0.92,-0.13,286,3789.41,4579,2.37,94.08,3.85,3.93,79.87,98.71,103.66,28.81,31.41,30.91,1.15,0.78,0.47,8.17,1.31,0.58,-0.11,1064,1179.78,asphalt 
214,1.5,104.7,2.62,2.73,150.28,74.57,89.27,19.73,14.73,14.99,3.32,0.74,0.57,7.26,1.15,0.91,0.34,160,2333.27,9413,3.15,108.99,7.88,5.65,133.17,92.32,101.48,54.67,41.43,41.17,1.03,0.91,0.39,9.26,1.24,0.19,0.18,2194,605.92,tree 
942,0.47,221.64,1.15,1.4,194.22,238.06,232.65,7.89,8.62,8.5,3,0.5,0.96,6.77,1.75,0.81,-0.1,172,2988.03,3115,0.68,229.23,1.54,1.65,206.65,241.09,239.94,18.56,18.62,17.65,1.14,0.79,0.85,7.81,2.23,0.15,-0.08,368,1328.66,building 
147,1.36,75.19,1.68,1.94,65.37,78.11,82.08,16.26,13.01,13.62,1.46,0.69,0.78,6.64,1.71,0.48,-0.09,94,2679.42,4884,2.29,85.1,3.99,5.53,94.55,76.32,84.44,46.69,36.69,36.74,1.99,0.88,0.3,9.16,1.11,0.8,0.11,1546,912.97,asphalt 
246,1.49,152.1,2.11,2.61,201.5,119.24,135.57,12.52,12.42,11.97,2.04,0.73,0.7,6.83,1.56,0.7,0.26,164,2054.65,6273,1.79,153.4,2.96,4.93,193.71,126.13,140.35,36.71,39.33,35.39,2.63,0.87,0.46,8.84,1.24,0.85,0.21,1562,909.73,grass 
194,0.83,94.07,2.13,2.19,146.58,62.54,73.09,23.96,16.34,17.26,2.52,0.79,0.77,7.2,1.54,0.81,0.4,122,1834.02,4526,2,123.1,3.39,4.33,174.15,91.86,103.29,44.51,32.67,32.69,1.57,0.9,0.47,9.19,1.58,0.2,0.31,1166,703.66,tree 
605,0.74,217.15,1.55,1.61,184.53,230.17,236.75,8.58,7.83,7.46,2,0.59,0.82,6.62,1.78,0.76,-0.11,158,2349.51,1158,0.84,225.89,1.27,1.53,193.54,240.12,244.01,12.71,12.54,9.93,1.44,0.81,0.9,7.25,2.11,0.43,-0.11,208,1342.62,building 
88,1.35,150.48,2.59,1.92,79.69,157.86,213.89,13.27,20.17,26.15,2.29,0.65,0.71,6.38,1.42,0.72,-0.33,72,3193.42,7118,1.83,87.43,3.74,4.5,95.6,79.44,87.25,49.28,42.52,43.81,1.99,0.9,0.38,9.07,1.23,0.81,0.09,1518,728.33,pool 
111,1.37,153.49,1.99,2.14,180.47,134.51,145.48,13.09,18.05,14.85,1.31,0.61,0.72,6.49,1.68,0.16,0.15,90,2804.09,7345,2.55,168.78,4.2,4.38,158.35,172.78,175.19,45.36,51.18,49,2.46,0.91,0.61,9.24,1.27,0.82,-0.04,1502,643.55,grass 
158,1.55,201.56,2.69,2.59,201.65,203.51,199.52,9.32,10.7,9.97,1.47,0.57,0.64,6.6,1.6,0.41,0,130,3320.04,8733,2.13,197.02,2.78,5.01,210.98,190.12,189.96,23.25,25.31,22.99,1.19,0.87,0.52,8.3,1.7,0.05,0.05,1874,846.12,soil 
636,2.09,72.8,3.53,3.73,60.67,76.29,81.45,9.29,8.87,8.8,1.55,0.58,0.54,6.91,1.47,0.49,-0.11,376,2673.26,10656,2.47,66.32,3.88,5.93,60.5,66.41,72.04,24.23,21.31,21.3,1.34,0.83,0.38,8.02,1.53,0.34,-0.05,2448,1090.86,asphalt 
256,1.49,83.97,2.35,2.16,70.07,90.21,91.64,9.91,9.39,9.32,2.4,0.64,0.68,6.71,1.33,0.86,-0.13,138,2860.85,2816,2.7,71.59,4.58,4,78.97,65.05,70.75,36.66,31.32,30.5,1.19,0.86,0.1,8.75,1.19,0.42,0.1,848,1104.14,asphalt 
115,1.48,145.5,2.6,2.42,81.39,149.49,205.62,16.21,16.2,16.53,1.77,0.61,0.59,6.51,1.4,0.64,-0.29,104,3285.12,338,0.5,146.42,1.56,1.47,93.27,152.89,193.11,43.31,46.17,40.75,2.56,0.81,0.89,7.63,1.81,0.73,-0.24,108,1577.25,pool 
270,1.4,139.81,1.7,1.98,203.06,100.16,116.21,14.07,11.25,11.04,1.59,0.74,0.81,7.11,1.79,0.55,0.34,130,1873.5,3918,2.63,133.73,3.34,3.52,166.53,112.77,121.89,50.06,45.38,43.69,1.52,0.93,0.56,8.89,1.44,0.68,0.19,882,518.03,tree 
985,1.1,239.21,2.01,2.04,214.74,251.37,251.54,7.87,6.04,5.77,1.02,0.46,0.8,6.59,2.14,0.32,-0.08,256,2822.62,2786,1.73,237.17,2.28,3.65,213.54,249.12,248.84,10.39,9.52,9.67,1.72,0.53,0.72,7.05,1.76,0.58,-0.08,770,2476.71,concrete 
89,0.71,216.08,1.44,1.38,218.36,215.2,214.67,12.75,14.1,12.27,2,0.58,0.84,6.1,1.68,0.65,0.01,52,3040.94,4785,2.04,195.91,4.12,6.26,208.68,187.25,191.81,36.98,47.36,42.7,3.79,0.8,0.5,8.62,1.04,0.93,0.05,1732,1180.41,soil 
287,1.7,209.33,2.34,2.8,212.1,210.06,205.83,10.14,12.22,12.03,1.97,0.49,0.69,6.9,1.51,0.72,0,190,3499.61,1872,1.25,196.44,1.9,3.26,201.32,195.97,192.02,17.17,20.6,20.48,2.23,0.76,0.76,8.09,1.65,0.78,0.01,564,1697.15,soil 
71,1.33,146.83,1.97,1.78,198.65,111.38,130.45,17.97,16.88,17.48,1.4,0.62,0.67,6.3,1.51,0.73,0.28,60,3306.73,12684,2.57,135.21,4.81,6.05,163.84,117.5,124.29,49.91,44.59,42.55,1.56,0.9,0.43,9.28,1.26,0.6,0.16,2724,712.52,tree 
428,0.73,46.48,1.74,1.93,54.31,39.89,45.24,10.13,9.98,7.76,3.51,0.63,0.81,6.79,1.45,0.9,0.15,160,2625.15,905,1.52,48.39,2.59,2.49,55.17,42.19,47.81,15.43,12.17,11.54,2.03,0.78,0.64,7.35,1.48,0.78,0.13,300,1592.87,shadow 
303,1.66,156.03,2.61,3.25,196.11,130.25,141.72,12.68,14.17,12.75,1.3,0.67,0.53,7.09,1.47,0.35,0.2,226,2826.61,7660,1.99,148.54,3.02,4.66,178.25,129.59,137.79,42.91,37.83,35.7,1.48,0.9,0.4,9.12,1.43,0.45,0.16,1630,667.1,grass 
205,1.62,136.81,2.41,2.62,174.58,107.67,128.19,18.63,16.86,17.82,1.37,0.67,0.69,7.21,1.7,0.37,0.24,150,2766.26,7660,1.99,148.54,3.02,4.66,178.25,129.59,137.79,42.91,37.83,35.7,1.48,0.9,0.4,9.12,1.43,0.45,0.16,1630,667.1,tree 
368,1.88,41.54,2.43,2.06,46.96,36.67,40.98,9.52,9.3,8.6,1.14,0.66,0.64,6.84,1.71,0.41,0.12,158,2584.22,2718,1.74,70.49,3.65,3.6,86.72,59.65,65.11,40.13,28.18,28.28,2.21,0.9,0.58,8.85,1.6,0.65,0.18,750,750.34,shadow 
260,1.15,65.68,2.76,2.08,52.11,70.93,74,7.26,7.9,7.9,1.5,0.35,0.76,6.43,1.77,0.5,-0.15,134,4159.09,12351,2.16,58.27,3.21,5.83,48.5,61.1,65.2,22.28,23.83,23.21,1,0.78,0.62,7.93,1.62,0.49,-0.11,2592,1144.07,asphalt 
1360,1.17,56.82,2.68,3.38,44.15,60.79,65.52,6.84,6.89,6.89,2.62,0.43,0.73,6.5,1.55,0.82,-0.16,498,3140.34,12351,2.16,58.27,3.21,5.83,48.5,61.1,65.2,22.28,23.83,23.21,1,0.78,0.62,7.93,1.62,0.49,-0.11,2592,1144.07,asphalt 
242,1.42,82.34,2.04,2.15,115.76,61.92,69.35,16.35,9.9,9.84,1.71,0.85,0.8,7.08,1.75,0.51,0.3,134,1208.24,2467,1.07,82.34,2.31,2.28,95.94,72.4,78.69,43,33.79,32.88,1.75,0.92,0.8,8.77,1.92,0.61,0.14,452,560.57,tree 
83,0.72,79.27,1.81,1.48,113.05,56.71,68.05,14.22,13.65,13.24,1.5,0.54,0.76,6.11,1.73,0.41,0.33,54,3382.13,4526,1.62,92.82,2.85,3.46,116.59,76.18,85.69,46.9,33.62,33.53,1.81,0.94,0.69,9.02,1.67,0.71,0.21,932,438.02,grass 
690,0.58,175.74,1.37,1.92,151.56,195.39,180.27,7.44,8.25,7.63,3.69,0.45,0.86,6.67,1.7,0.81,-0.13,202,3464.96,2922,1.78,188.3,3.89,4.23,164.55,203.21,197.14,31.52,34.52,36.21,1.53,0.76,0.6,8.35,1.47,0.72,-0.11,914,1615.26,building 
88,0.58,198.1,1.55,1.55,203.06,195.07,196.18,14.29,16.98,17.3,2.13,0.65,0.82,6.38,1.65,0.71,0.02,58,2601.83,16619,2.01,175.58,3.9,5.66,194,165.54,167.22,22.96,26.15,24.81,1.69,0.86,0.32,8.58,1.23,0.79,0.08,2918,968.36,soil 
392,0.94,58.52,1.64,1.84,70.1,49.21,56.26,15.94,9.35,10.05,1.61,0.83,0.86,7.28,1.91,0.55,0.18,146,1369.85,6131,1.73,73.38,2.83,3.62,91.3,60.16,68.68,47.09,27.04,28.28,1.69,0.94,0.65,8.9,1.74,0.51,0.21,1134,431.33,shadow 
85,0.7,150.84,1.68,1.41,183.07,130.14,139.32,21.21,13.88,11.73,1.18,0.73,0.81,6.29,1.8,0.35,0.17,52,1608.25,2882,2.46,164.54,4.71,5.29,183.96,150.08,159.6,41.62,48.01,43.84,1.04,0.83,0.17,8.93,1.18,0.51,0.1,1136,1212.34,grass 
305,1.04,58.88,1.97,2.09,49.35,59.4,67.88,9.13,8.94,8.82,1.5,0.61,0.81,6.66,1.86,0.45,-0.09,146,2415.37,3486,1.82,75.73,3.1,3.84,88.8,65.12,73.26,47.21,25.82,26.57,1.87,0.91,0.53,8.82,1.46,0.64,0.15,906,714.37,shadow 
135,1.61,39.16,2.32,2.63,37.45,38.48,41.53,5.72,5.67,5.91,5.3,0.38,0.66,5.96,0.91,0.96,-0.01,122,4457.67,689,1.93,59.81,3.02,2.02,57.71,57.89,63.82,30.42,19.55,20.86,1.91,0.82,0.61,7.38,1.42,0.85,0,212,1406.31,shadow 
905,0.61,234.9,1.32,1.4,228.39,251.14,225.17,7.76,5.54,7.88,2.71,0.51,0.89,6.67,1.69,0.83,-0.05,168,3055.52,3876,1.23,241.47,1.79,1.98,227.71,251.41,245.3,9.53,6.53,13.11,2.29,0.66,0.71,7.06,1.68,0.74,-0.05,494,2153.09,building 
433,1,226.58,1.84,2.14,200.03,239.16,240.55,7,6.63,6.89,2.21,0.56,0.78,6.51,1.71,0.7,-0.09,178,2724.49,26143,2.93,230.04,7.46,5.58,205.18,241.93,243,12.33,12.23,11.55,3.41,0.76,0.36,7.37,0.77,0.9,-0.08,3606,1426.43,concrete 
470,0.99,240.27,1.82,1.82,219.37,251.05,250.39,9.46,6.03,6.48,1.59,0.45,0.76,6.82,1.79,0.64,-0.07,158,3249.59,26143,2.93,230.04,7.46,5.58,205.18,241.93,243,12.33,12.23,11.55,3.41,0.76,0.36,7.37,0.77,0.9,-0.08,3606,1426.43,concrete 
1908,1.06,144.81,1.68,1.91,123.42,156.19,154.83,7.24,7.37,7.36,1.28,0.48,0.92,6.72,2.17,0.33,-0.12,334,3085.07,1918,1.05,145.02,1.67,1.9,123.62,156.39,155.04,7.77,7.93,7.89,1.28,0.49,0.91,6.74,2.16,0.34,-0.12,332,2732.25,building 
897,1.31,236.41,1.87,2.09,210.58,249.51,249.15,6.41,5.92,6.13,3.24,0.38,0.82,6.41,1.53,0.86,-0.08,250,3351.88,4751,1.78,223.16,2.64,2.85,201.95,233.16,234.38,18.34,21.52,21.18,1.74,0.85,0.53,7.87,1.47,0.78,-0.07,786,994.26,concrete 
102,1.1,128.84,1.62,1.63,179.93,95.59,110.99,30.69,12.77,16.08,1.36,0.78,0.81,6.66,1.81,0.41,0.31,66,1811.03,3281,2.02,102.3,3.58,4.08,117.83,90.92,98.16,53.34,41.52,39.6,1.34,0.91,0.56,8.95,1.57,0.47,0.13,934,671,tree 
68,1.8,82,2.68,2.24,118.63,58.75,68.63,20.43,11.91,11.06,2.85,0.71,0.49,6.37,1.03,0.88,0.34,74,3064.06,1364,1.59,68.61,2.53,3.13,81.67,57.65,66.52,27.98,23.13,24.44,2.6,0.85,0.65,8.29,1.4,0.85,0.17,462,1063.45,tree 
175,1.3,165.07,2.16,2.27,185.21,155.22,154.8,11.41,14.91,15.68,1.93,0.58,0.73,6.63,1.65,0.68,0.09,120,3118.54,5588,2.13,136.74,3.49,4.57,170.97,115.18,124.08,40.2,34.08,32.02,1.15,0.89,0.2,9.19,1.31,0.63,0.19,1366,767.76,grass 
106,0.51,241.45,1.21,1.31,228.41,247.67,248.28,14,9.68,9.1,2,0.53,0.89,6.35,1.77,0.65,-0.04,54,3470.38,12185,1.72,167.77,2.62,4.74,188.06,156.67,158.58,30.06,32.75,31.14,1.09,0.88,0.68,8.69,1.94,0.1,0.09,2092,781.47,car 
37,1.1,214.29,1.46,1.48,186.86,226.7,229.3,28.74,29.65,28.38,1.5,0.5,0.75,5.64,1.47,0.54,-0.1,36,5070.03,4945,2.29,76.6,4.41,4.72,84.24,69.66,75.89,47.11,40.22,39.79,1.85,0.9,0.37,9.01,1.16,0.78,0.09,1328,767.4,car 
120,0.71,228.31,1.11,1.41,210.04,238.83,236.04,22.48,21.88,23.57,2.71,0.56,0.91,6.39,1.62,0.78,-0.06,62,3460.03,1713,1.41,153.31,1.8,2.37,160.99,147.56,151.39,52.86,51.83,48.97,1.93,0.91,0.75,8.35,1.94,0.54,0.04,392,643.62,car 
223,1.54,34.61,2.24,2.44,30.88,32.78,40.16,6.72,4.77,5.42,1.25,0.63,0.7,6.24,1.76,0.36,-0.03,146,2794.44,4102,1.78,77.64,2.58,3.08,77.2,74.66,81.05,42.27,37.09,35.53,1.34,0.91,0.65,8.75,1.77,0.52,0.02,790,641.83,shadow 
33,0.78,209.53,2,1.48,200.73,214.79,213.06,6.51,7.34,7.11,1.83,0.31,0.76,5.34,1.47,0.63,-0.03,34,5489.99,8451,1.51,178.36,3.09,5.06,189.3,173.16,172.62,23.89,27.8,26.8,1.83,0.86,0.56,8.59,1.6,0.69,0.04,1860,963.29,soil 
235,1.67,106.54,2.75,3.2,167.39,70.43,81.81,15.84,8.84,9.46,2.24,0.78,0.45,7.15,1.19,0.78,0.41,196,1909.09,10123,2.76,127.78,4.87,6.87,177.17,96.06,110.13,37.17,29.2,28.95,2.46,0.88,0.25,9.2,0.87,0.83,0.3,2764,795.12,tree 
67,0.19,245.87,1.19,1.47,239.37,247.81,250.43,12.14,6.57,6.1,5,0.17,0.89,5.9,1.31,0.92,-0.02,48,5067.5,2786,1.8,198.27,3.6,3.24,200.12,194.86,199.83,30.94,38.63,35.3,2.52,0.88,0.5,8.51,1.12,0.92,0.01,684,748.11,concrete 
155,2.25,76.37,4.29,2.97,65,80.34,83.78,8.35,6.36,6.97,1.84,0.48,0.46,6.44,1.18,0.62,-0.11,148,4615.27,654,1.41,85.67,1.68,1.64,78.12,86.9,92,29.66,22.1,22.38,2.27,0.84,0.76,7.89,1.59,0.78,-0.05,168,1244.27,asphalt 
663,1.28,170.01,2.45,2.27,218.92,136.51,154.6,10.29,8.83,9.25,2.6,0.75,0.72,6.94,1.48,0.84,0.23,234,1675.06,9636,2.17,171.81,3.75,4.94,206.21,150.01,159.22,22.02,25.3,22.19,2.39,0.87,0.43,8.15,1.26,0.72,0.16,1938,792.46,grass 
334,0.9,238.31,1.77,1.7,212.41,251.49,251.04,8.45,6.21,6.52,1.86,0.46,0.84,6.62,1.79,0.69,-0.08,124,3128.31,18554,3.56,224.12,8.75,6.52,202.57,233.93,235.86,13.87,15.77,14.91,3.68,0.75,0.33,7.46,0.63,0.98,-0.07,3550,1419.67,concrete 
899,0.7,222.96,1.45,2.02,198.72,234.39,235.76,6.13,7.07,7.09,3.66,0.41,0.91,6.38,1.55,0.89,-0.08,242,3345.15,3304,4.1,215.47,9.03,6.57,201.19,221.86,223.35,15.95,23.84,23.03,1.11,0.78,0.17,7.64,0.85,0.47,-0.05,1510,1377.56,concrete 
345,0.93,40.45,1.55,2.02,48.78,31.81,40.75,11.21,6.96,6.79,5.87,0.7,0.84,6.8,1.12,0.97,0.21,150,2452.82,3314,1.88,45.62,2.96,3.29,52.34,38.98,45.54,23.43,11.63,12.26,1.59,0.87,0.58,7.91,1.58,0.59,0.15,758,915.47,shadow 
71,0.29,78.5,1.28,1.19,107.7,59.92,67.89,11.02,9.66,9.57,1.86,0.63,0.91,6.09,1.78,0.51,0.29,40,2955.62,1906,1.36,115.38,1.88,2.1,162.18,85.58,98.39,55.39,20.27,22.31,1.11,0.97,0.77,8.45,2.03,0.32,0.31,366,211.27,tree 
122,0.58,140.91,1.48,1.4,195.67,107,120.07,18.49,13.62,14.69,1.25,0.76,0.83,6.71,1.91,0.32,0.29,62,2028.46,586,0.83,85.73,1.7,1.51,115.09,65.8,76.3,51.98,27.57,29.52,1.38,0.96,0.82,7.94,2.03,0.47,0.27,146,327.94,tree 
256,1.2,109.03,2.17,2.28,163.22,74.57,89.29,17.54,11.18,11.72,2.47,0.76,0.68,7.18,1.49,0.77,0.37,146,2011.68,5729,1.89,97,2.85,4.68,127.51,76.72,86.76,46.7,26.02,26.58,2.78,0.93,0.54,9.15,1.18,0.89,0.25,1418,505.39,tree 
176,1.6,26.85,2.13,2.56,22.91,26.52,31.11,5.47,4.93,5.26,2.62,0.39,0.66,6.02,1.3,0.84,-0.07,136,4142,3731,1.46,45.83,2.43,3.95,45.55,43.18,48.78,23.2,17.11,17.16,2.9,0.9,0.56,8.03,1.34,0.84,0.03,966,755.66,shadow 
70,1.06,127.65,2,2.45,146.34,114.71,121.89,14.59,18.45,16.81,2.86,0.56,0.67,6.18,1.38,0.72,0.12,82,4068.18,1717,2.27,137.87,3.09,3.86,164.79,119.78,129.04,35.76,29.44,28.35,4.59,0.87,0.46,8.73,0.87,0.95,0.16,640,919.18,grass 
2583,0.53,233.92,1.2,1.76,198.04,251.35,252.36,6.77,4.63,3.94,4.26,0.38,0.91,6.55,1.5,0.92,-0.12,358,3202.39,2670,0.5,233.74,1.16,1.67,198.09,251.02,252.11,7.35,5.46,4.62,4.26,0.41,0.92,6.62,1.5,0.92,-0.12,346,2985.72,building 
287,1.63,225.51,1.99,3.19,217.41,230.5,228.61,8.21,8.18,8.84,1.18,0.49,0.7,6.69,1.77,0.28,-0.03,216,3120.79,7390,1.82,209.31,2.14,4.02,197.83,217.06,213.04,22.12,20.7,19.61,1.1,0.86,0.72,8.22,1.97,0.43,-0.05,1382,941.72,soil 
118,1.91,156.03,3.03,2.58,216.31,114.98,136.79,13.2,10.07,10.97,1.24,0.64,0.59,6.55,1.45,0.37,0.31,112,3031.99,6725,1.64,114.06,2.56,3.18,149.72,89.24,103.23,47.28,31.47,31.71,2.08,0.94,0.69,9.09,1.63,0.71,0.25,1044,414.78,tree 
133,0.93,143.56,1.8,1.6,173.62,124.83,132.22,12.42,15.61,14.25,1.07,0.69,0.75,6.61,1.79,0.35,0.16,74,2552.12,9174,2.15,112.52,2.88,4.63,101.34,114.92,121.3,42.16,38.98,38.48,1.87,0.89,0.6,9.21,1.46,0.74,-0.06,1772,743.69,tree 
357,3.43,159.68,6.01,3.49,168.22,156.16,154.67,14.58,12.38,12.45,2.16,0.67,0.39,7.28,0.86,0.85,0.04,264,2434.63,10173,2.22,162.94,3.58,4.66,177.08,153.74,158,37.11,34.77,33.04,2,0.87,0.35,8.9,1.45,0.59,0.07,1882,851.4,grass 
434,1.34,238.46,1.91,2.4,220.03,246.44,248.9,7.26,7.92,6.58,1.57,0.35,0.67,6.55,1.77,0.45,-0.06,200,3660.29,2306,0.42,238.78,1.23,1.19,225.29,244.91,246.15,10.84,14.45,13.32,1.18,0.7,0.9,7.18,2.31,0.2,-0.04,228,1924.32,building 
350,0.69,50.7,1.33,1.36,65.31,39.22,47.57,12.48,7.4,7.69,1.81,0.58,0.88,6.96,1.91,0.63,0.25,102,2807.95,3314,1.39,85.29,1.87,2.48,123.44,60.96,71.49,52.65,23.88,25.52,1.16,0.96,0.79,8.67,2.14,0.18,0.34,572,316.23,shadow 
137,1.49,149.5,2.48,2.86,210.74,111.4,126.35,13.11,8.49,9.73,1.18,0.67,0.59,6.68,1.61,0.34,0.31,134,2767.2,3306,1.87,138.62,2.4,2.85,194.89,102.55,118.42,29.59,24.52,25.65,1.12,0.88,0.62,8.7,1.78,0.35,0.31,656,826.91,tree 
808,1.89,222.59,2.8,3.29,195.25,236.26,236.27,7.51,6.27,6.42,3.02,0.5,0.72,6.6,1.33,0.88,-0.1,374,2871.19,13596,2.51,221.65,5.48,4.16,195.88,234.34,234.73,13.58,16.51,15.73,1.35,0.78,0.47,7.48,1.47,0.31,-0.09,1940,1346.36,concrete 
116,1.36,152.64,2.45,2.14,179.07,137.22,141.62,10.22,9.87,9.2,1.99,0.68,0.65,6.4,1.4,0.77,0.13,92,2709.91,11726,1.51,172.62,2.25,4.55,185.25,166.3,166.32,17.09,21.54,20.3,1.02,0.84,0.68,7.97,2,0.19,0.05,1972,1049.41,grass 
1551,0.63,240.1,1.6,1.8,215.43,252.42,252.47,6.59,4.37,4.12,1.47,0.45,0.89,6.45,2.17,0.45,-0.08,284,2883.12,8292,0.91,234.29,1.77,2.02,213.13,244.17,245.57,20.45,24.64,22.12,1.17,0.76,0.73,7.34,2.11,0.51,-0.07,734,947.03,grass 
541,1.43,198.35,2.65,2.17,171.48,210.3,213.27,12.22,12.85,13.48,2.37,0.51,0.85,7.14,1.62,0.73,-0.1,202,3021.95,2846,1.06,222.29,1.65,1.6,195.18,236.96,234.73,21.98,19.41,17.95,1.26,0.89,0.75,7.96,2.07,0.5,-0.1,342,791.87,building 
128,0.85,49.89,1.85,1.86,42.94,51.24,55.49,10.25,12.15,11.69,1.37,0.46,0.77,6.47,1.85,0.26,-0.09,84,3745.86,5599,1.85,114.57,2.97,4.31,149.54,92.24,101.92,56.72,37.75,38.26,2.35,0.93,0.59,9.09,1.38,0.8,0.24,1290,515.98,shadow 
159,1.43,135.61,2.08,2.62,196.97,97.32,112.55,16.49,15.8,15.64,3.3,0.62,0.64,6.9,1.17,0.88,0.34,132,3072.88,2492,1.23,127.73,1.99,3.18,160.82,106.13,116.25,63.91,48.51,48.22,1.14,0.94,0.72,8.57,1.99,0.4,0.2,634,442.43,tree 
798,1.1,227.24,2.12,2.67,209.06,235.55,237.11,9.46,7.65,8.3,5.22,0.67,0.72,6.97,1.19,0.95,-0.06,302,2117.51,3952,1.54,218.02,2.34,3.17,203.49,224.53,226.03,13.26,16.67,16.06,5.51,0.79,0.64,7.42,1.03,0.95,-0.05,796,1303.82,concrete 
209,1.3,68.94,2.73,2.35,67.1,66.41,73.31,12.3,9.74,10.04,1.55,0.75,0.64,6.82,1.56,0.58,0.01,136,1930.85,7123,1.95,96.35,3,3.61,116.31,82.27,90.46,55.2,32.55,33.98,1.72,0.94,0.57,8.93,1.51,0.63,0.17,1218,421.31,tree 
2260,0.78,245.71,1.81,1.77,232.31,252.49,252.34,8.39,4.28,4.38,1.32,0.58,0.81,6.84,2.17,0.4,-0.04,336,2488.52,2466,0.95,244.63,1.73,1.65,233.5,250.19,250.21,9.62,11.16,10.31,1.18,0.64,0.8,6.92,2.15,0.45,-0.03,328,2141.1,building 
346,1.76,121.74,2.35,2.31,167.66,93.05,104.49,15.18,12.07,11.77,2.31,0.77,0.72,7.25,1.46,0.78,0.29,172,1829.25,7245,2.11,124.56,4.24,5.39,152.73,105.57,115.37,47.68,41.86,39.87,2.35,0.91,0.35,9.3,1.09,0.83,0.18,1836,629.46,tree 
269,1.9,136.48,3.81,2.93,186.87,104.82,117.75,15.33,10.43,10.36,1.41,0.82,0.53,6.99,1.37,0.36,0.28,192,1309.86,2107,2.14,130.23,3.39,4.95,152.08,115.87,122.73,28.04,20.03,17.88,2,0.9,0.4,8.43,1.28,0.76,0.14,908,690.58,tree 
133,2.34,126.19,3.17,2.56,172.41,95.2,110.98,16.84,13.3,11.02,1.72,0.82,0.43,6.72,1.22,0.75,0.29,118,1646.74,2421,1.9,132.15,3.77,3.76,159.23,111.76,125.48,51.54,41.56,41.23,2.53,0.95,0.7,8.77,1.42,0.84,0.18,740,364.71,tree 
